,Tweet,Class
497,"dakikalar için teşekkürler, bu arada gün içinde sms atmayı unutma kendimi yalnız hissediyorum.",positive
498,En iyisi   düşünmen bile vakit kaybı :D,positive
499,Bilirim ama TÜRK'üz TURKCELL lıyız kanka;),positive
500,turkcell diorm :D,positive
501,Hayat paylaşınca güzel La laa laa laa laa laa laaa :),positive
502,"""Turkcellden başka mesaj atanım yok ya"" diyenler, olm az susun. Turkcell gene düşünceli, Avea nerdeyse hiç atmıyo. Yalnızlıktan ölücem.",positive
503,Bugun Superonline musteri hizmetlerini arayip churn + avantajli kampanya paketlerini soracagim. Artik TTNet'e para bayilmaya son ..,positive
504,"o laftan sonra ""nasıl alıyor bunları bu telefonu"" dediği zaman biri çıkıp ""turkcell'de kampanya var çok ucuza"" diyecektir elbet.",positive
505,İşte Joygame ve Turkcell işbirliğinden müthiş bir kampanya daha. Joygame; Turkcell Mobil ödeme ile yükleme yapan...,positive
506,Tamamdr baby turkcelle bağlan hayata :)),positive
507,öyle ama avea igrenc ya. Bi kere arkadaslarim turkcelli 10.000 sms fln var. Parasi onemli degil turkcell iyi :D,positive
508,"Hayat paylaşınca güzel, la la la laaa la laaaaalaaaa, paylaşıp çoğalınca güzel la ala ala lalaalaa laaaaaaa.. :)))",positive
509,Dünden beri Turkcell'i arayıp internet paketi yaptıracaktım ama nasıl bir üşenmeyse bu hala yapamadım gitti.,positive
510,hayat paylaşınca güzel,positive
511,Ben de  'den kazandım bir tane. Bu hafta elime ulaşır sanırım.,positive
512,superonline fiber internet tavsiye ederim. Hızı da gayet iyi. İlk başlarda sorun yaşadım ama şuan memnunum.,positive
513,senin kisaltmalarini da twitter kullanmani da yeriim ama turkcell her turlu benim hic sulanma canim ;),positive
514,beni şaşırttınız. bunca yıldır turkcell kullanıyorum bu kadar hızlı bir geri dönüş almamıştım. teşekkürler.,positive
515,türkcelle bağlan hayata :),positive
516,Superonline sayesinde rakip firmanın hızlı internet reklamını kesintisiz şekilde izledim. Rakip firmayla kesin izleyemezdim.,positive
517,superonline'ın yüksek hızlı internetini bağlattır TTnetten uzak dur,positive
518,evde olup tv karsisinda oturmak bence en guzeliii bulma kimseleri hic :) ben Turkcell de calisiyorum :),positive
519,Bi turkcell düşünüyo zaten :S,positive
520,"Çaylar hazır, poğaçalar sıcacık! Gazeteler de yanımızda! Ohhh miiiisss. Hayat paylaşınca güzel la lalalalalalala!",positive
521,"özlemişim çok iyi geldi.Teşekkürler Graham Bell, teşekürler türkcell, teşekkürler can........",positive
522,hayat paylaşınca güzel lalalalalaalaaalaaaaa,positive
523,sanırım haklısın turkcell harbiden hayat paylaşınca güzel valla bak :),positive
524,coca cola ve turkcell reklamdan çok iyi anlıyolar çok başarılılar keşke olmasaydı(coca cola reklamının başarısı) ama kabullenmek lazım.,positive
525,"Biliyorum Turkcell beni tuketime kazandirmayi kafana koydun. Bedava smsler, bedava konusma dakikalari internet paketi falan.",positive
526,HAN DERLERYA HAYAT PAYLAŞINCA GÜZEL BEN HAYAT SEVİNCE GÜZEL..,positive
527,"Önce avea'ydım turkcell'e geçtim.sonra avea oldum,şimdi bir daha turkcell'e geçmek istiyorum maşallah :D",positive
528,özturkcell den şaşma kardeşim gerisi yalan :),positive
529,"Ne komik reklamlar  , ne komik! Bonus Kart'ın kafa reklamları kadar komik! Gözlerimizi devire devire izliyoruz! Çok esprilisiniz!",positive
530,hayat paylaşınca güzel...türkcell...,positive
531,oturduğun yerde fiber bağlantı varsa süperonline,positive
532,hayat paylaşınca güzel lalalalallalallalalllllaaaa :),positive
533,valla ben tarifem neyse onu oduyorum turkcellden de gayet memnunum yillardir turkcelliyim...,positive
534,telefondan mesaj atamıyorum ki sana yaa turkcell'e geçmelisin :),positive
535,"2002 den beri bi insan birine asik olmaz ki? Turkcell le saygili,seviyeli ve uzatmali bir iliskim var hep yanimda canim benim ya.",positive
536,Turkcell al haci dört çeker :),positive
537,hemen bağlanırsa superonline ı seçerm.bi mail atıp sorayım en iyisi :),positive
538,"""Turkcell beni sesimden tanir""",positive
539,o attığın turkcell numarasını mı kullanıyosun güzellik? Hemen fısı fısı ederiz :D,positive
540,ben ariyorum rahat ol.hem de superonline deyim ben;),positive
541,ayyy selocan çoooooook teşekkür ederim yaaaaaaaaaa:)) çok duygulandım :),positive
542,Turkcell super online 20Mbps fiber internet.En iyisi.Eğer bulduğunuz çevrede varsa fiber internet alt yapısı düşünmeyin bence.,positive
543,"Check out my result from    Turkcell Superonline, harbiden süper :))",positive
544,#3kelimeyle2011 hayat paylaşınca güzel ....  :),positive
545,"su an iniyor. :) ama 6 saat verdi mkv'ye, derhal daha hizli insin. ya superonline fiber ne guzeldi amk cihangir.",positive
546,"""Hayat Paylaşınca Güzel"" günaydınlarrrrrrrrrrrr :)))",positive
547,Hayat Paylaşınca güzelmiş hah hiç kusura bakmasın o turkcell ben seni kimseyle paylaşamam  ),positive
548,direk turkcell vınn al kurtul en iyisi o şuanda  ama ttnet iyi sayılır,positive
549,Turkcell 97 liraya veriyor...boş verin aveayı Turkcellden alın =),positive
550,Turkcell panolarindan fotograf almis gibi sevindim (=,positive
551,Numarasını AveA'dan Türksel'e taşıyan Vodafon çalışanıydım bir zamanlar..,positive
552,hayat paylaşınca güzel:),positive
553,gnctrkcll kullanabilsek iyiydi :),positive
554,#superonline #turkcell şu an internet hızımı saygıyla anıyorum: 2MBit (Gerçekte 20MBit) #BAN,positive
555,Bi Coca Cola bi de Turkcell zaten reklam işini bilen,positive
556,"İphone 4S Türkiyede:  İphoneun yeni modeli İphone 4S, Turkcell tarafından satışa sunulacak.",positive
557,"maNga, canlı ve etkileşimli olarak 23 aralık cuma saat 15:00'te Turkcell Müzik'te! bilgilerinize sunarım :)",positive
558,"sinemaya, cok para gitmesin diye gnctrkcll le gidip 8 tl verirken, filmden once abur cubura 13 tl veren bi ciftiz bence.",positive
559,vodafonedan aveaya gectim ailecek perisan olduk turkcell bile sizden daha insaflı.,positive
560,match and talk un bulduğunu sandığı şeyi turkcell yıllardır yapıyo zaten,positive
561,"Önce kız takımımız KPMG'yi 3-0 sonra da biz Unilever'i 3-1'le geçtik, süper bir gün oldu! #turkcellvoleybol #goturkcell #turkcell :))",positive
562,bi turkcell'e geçmek lazım sanırım ?,positive
563,#hayatpaylasincaguzel Turkcell 14. ITU Sektör Günlerinde #ituemk,positive
564,pahalısı pahalısı kaliteliymiş:) harika reklam bayılıyorum :)) pahalı olsun turkcell olsun :),positive
565,aynen bende sırf bıs yuzunden tcell kullanıyorum:),positive
566,"Mutlulugu baskalarinda aradim bulamadim sonunda yine sana geldim Turkcell'cim,anladim senden baskasi yalanmis..",positive
567,"Kuzenımı ararken turkcell jıngelını kenan dogulu soyluyo, mutemadıyen senı arıyasım var cuz",positive
568,"hayat paylaşınca güzel, rica ederim her zaman :)",positive
569,demaa öyle büşra:) bkz. hayat paylaşınca güzel la la la laaa :D:D,positive
570,"""Avea'yla Vodafone her yerde çekiyor mu bilemem ama ikisinin de Turkcell'i hala çekemediği net.""",positive
571,onu turkcell'e anlatıcaksın cnm :),positive
572,süperonline den denemekte yarar var ... onlar özel kablo dahi döşüyorlarmış!,positive
573,ama turkcell yaa selocan falan çok şiirn çocuklar guduuuuu desem yinemi olmaz :D,positive
574,Eğer bir gün isterseniz siz de TURKCELL kampanyalarından yararlanabilirsiniz.. Yoksa halá TURKCELL li diil misiniz..,positive
575,Samsung Galaxy Tab 10.1 Türkiye Fiyatı (Turkcell Kampanyası),positive
576,"Apple Londra'da ürünü alır almaz mail göndermişti.  in çağrı mrk. arayinca SMS geldi,bizi ücretsiz arayıp bizi değerlindir",positive
577,evde superonline var buraya bekleriz,positive
578,çok iyi tanırım kendisini.turkcell tim gürhan abi dedinmi bende akan sular durur.#turkcelltimgurhanabiyitanıyaninsanlartanıyorum.,positive
579,Bir SMS Bir Kitap Kampanyamiz devam ediyor Turkcell 5228'e yolluyacaginiz 1 sms cocuklara guzel bir kitaba donusuyor...,positive
580,e taşı ve rahatla.. Hadi bakalım,positive
581,iPhone4S Türkiye de de satışa çıkmış bulunmakta en uygun fiyat 99/24 buda 2300 küsür lira oda turkcell'den yalnız internet 100 mb tabiki :D,positive
582,superonline varya daha iyi,positive
583,Seni seviyorum Turkcell,positive
584,yarın turkcell olucam yeni numara falan .. :(( babam açtırma diyo bbm i,positive
585,Belirteyim yeni hattım Turkcell ve tuvalette bile çekiyor :) Avea öyle kenarda durmakta. Çok uğraştım çok anlattım nafile.,positive
586,teşekkürleerr,positive
587,#2011MARKA keske suan orada olsam:( Turkiye'de gerceklesn en degerli olusumlardan.Benim icin konferansn en degerlisi ise tabiki TURKCELL;),positive
588,:))) en iyi çekim gücü turkcell de var  yinede,positive
589,ewt hayat paylaşınca güzel ve bu dünyada sizlr gibi değerli insanların olması kadar güzel bir şey yok (:,positive
590,sen olmadan sarılamam zaten bitanem eksik  kalır yok olurum hayat seninle  paylaşınca güzel,positive
591,çok iyi tşk.turkcell,positive
592,2012'nin ilk Entrepreneurs Roundtable etkinligi ER8 16 Ocak'ta Turkcell'de.,positive
593,BlackBerry seni o kadar cok seviyorki :) Hep seni ariyor. Mutluyuz seninle,positive
594,dunyanin en iyi gsm operatorusunuz bence. Hemen hallettiniz cozdunuz sorunumu cok tesekkurler artik firsat smsleri gelmiyo! Oleyy!,positive
595,Avea'yla Vodafone her yerde çekiyor mu bilemem ama ikisinin de Turkcell'i hala çekemediği net.,positive
596,türksel adamın kıralı ya,positive
597,superonline her şekilde daha hızlı ve kullanışlıdır ttnet'e göre :),positive
598,Manganın şu anda turkcell internetinde verdigi konserde o kadar olmak isterdim ki yaa herşeyimi verebilirim off offf,positive
599,"saatlerdir telefonum kapalı, daha yeni açtım kimse aramamış kimse mesaj atmamış bir turkcell sağolsun vallahi billahi hepinizden vefalı:)",positive
600,basarili gordum seni:)))  paylasinca guzel diyorum o zmnn :))),positive
601,Ooooooo telefon alicaklar gitsin Turkcell'den htc alsın yanindada in-ear beats veriyorlarmış çoğiyi ya,positive
602,#gelecektekisevgiliyenot ; Şuan bu yazıyı okudugunu biliyorum hatta telefonda mesajlaşıyoruz çok güzel hayat paylasınca güzel lalala lalala,positive
603,Bratan dj'e gidip suat nerde in asag demek lazimda neyse :D tesekkurler TURKCELL harika bi gece,positive
604,gördüğüm en iyi web sayfalarından...,positive
605,kadınlara verdiği değerdir arkadaş!:))))Nihhahaha,positive
606,TURKCELL seviyoooooo sende sevecen kardeşim hasta etmeee adamııı:)))),positive
607,"beni yine unutmadi. her zaman hatirladigi ve yeni yilimi kutladigi icin en vefali yarime tskrler, iyiki varsin TURKCELL:D:(",positive
608,esanafa ozel vınn kampanyası sadece 29 lıra :))))) ahaha yenı cıktı bu :))) ısı bılıyor turkcell :)),positive
609,private account'mus amk!! turkcell'e tasidim hattimi ustune her yerde yazcam bu yaptiginiz terbiyesizligi!!,positive
610,Sayfamızı begenen 80.müşterimize TURKCELL'den 1 aylık FACEBOOK Paketi PDA STORE'dan BEDAVA,positive
611,superonline cok iyi,positive
612,"İleride belediyede işe girersem Turkcell'in ' Belediye Paketini  alırım kesin,çok sağlam..",positive
613,"ters kutuplar birbirini cekerrrrr,turkcell'I'm benimmmm:)",positive
614,veee en son olarak kalitede yol ayrimi turkcell pls:)),positive
615,süperonline ' nın fiber optik sistemi 10 tane ttnet eder yahu . 100 mbit internetten bahsediyoruz,positive
616,"Ne zaman ki turkcell canımlı cicimli panolara ""GÖZÜM"" kodu, o zamandan beri turkcellde gözüm kaldı, olasım geldi, oldum, şimdi herkes gözüm!",positive
617,valla baya sosyal artik millet cogu online zaten superonline :D,positive
618,POLIS mesaj atiyo canim benim turkcell ve o olmasa ne yaparim bilmiyorum,positive
619,OH BE!! Cok mutluyum :) 150 dakıkam ve 5300 sms verdi turkcell :),positive
620,oh hayat size güzel ama unutma hayat paylaşınca güzel :-)))),positive
621,"MiLLeT ""Muzik"" YaZıp 1040'a GöNDeriN 20/50 dk ßeDavaa GeLiyor YemiNLee yapın TurkceL SaDece .!",positive
622,Avea ne lan kenkzz? Rus karısı ismi falan mı? Ccc Turkcell 3g internet hızı siker amk ccc,positive
623,yok bu kadar reklama göre uydu hızında sanarsn ) #ttnet 75tl fatura oduyorum ona uyz oluyorm  superonline kurtar beni:),positive
624,Çok dogru :)   Turkcell'in 3G hızı ABD'de deki 4G'den daha hızlı :),positive
625,#vodafone sosyal medyada bile sesi çıkmıyor trcell ya da avea olsaydı çoktan dönmüştü,positive
626,30Liraya 62TL yukleyen turkcell tesekkurler :D,positive
627,fiber superonline diyorum başka da birşey demiyorum..daha hiç kazığını yemedim :),positive
628,Aynen kanka ya yemin ederim telefon uçuyo suan :) turkcell farki yaa :),positive
629,"İnternetime yaklaşık 2 haftadır dümdüz sövüyorum hemde öyle böyle değil,sanırım artık SuperOnline zamanı geldi.. Üzgünüm UyduNet",positive
630,niye bana Turkcell in panolarindaki guzel sozlerin resmini cekip gondermiosuun? ;),positive
631,Migros'ta telefonunu Turkcell'e taşıyana 50tl lik alışveriş hakkı veriliyormuş. Yakında numarasını taşıyana maaş bağlayacaklar herhalde.,positive
632,"eğer gelmemişse bile, ben trcell superonline'ı kesinlikle öneririm.. re:",positive
633,"""Pahali olunca kaliteli oluyormus"" diyor uyduruk bir operator. Ben de parasi neyse veririm, her yerde ceker, konusurum"" diyorum.",positive
634,Musterisine en cok alaka gosteren GSM operatoru  den cayma bedelini ode sonra istedigin operatorde surunmeye basla.,positive
635,"Busefer kazanan ben oldum bak Turkcell.Aksam 9 sabah 6,120tl bedava vermissin.Hicte uyku saatim degil.Carcur ettik daha da edicez bil yani",positive
636,superonline candır :),positive
637,"Mutluluk, gnctrkcll kampanyasını bilmeden iki kişi kahve dünyasına gidip, kahve içtikten sonra ikincisinin bedava olduğunu öğrenmekti bugün.",positive
638,#Turkcell farketmeden yaptığın bedava konuşmalarını seviyorum devam et;),positive
639,turkcell in cekim gucu diyelim :D,positive
640,Yalan... faturalı hattım :avea.. Diğer hattımı ise vodafone'dan turkcell e naklettim :),positive
641,"Superonline fiberoptik, daha iyisi yok Türkiye'de.",positive
642,"Bye bye avea, selam turkcell",positive
643,Sağolsun turkcell telefonum tamir olana kadar kullanmam için bb curve vermiş de nerde bunun tuş kilidi yüz saattir arıyorum yok imdat ya,positive
644,"MMS altyapisini zaten kurmustu, otobana benzetmem tasima Cap. Yuksek diye. Superonline ile fiberlerde kendinin. Ek maliyet 0.",positive
645,Turkcell sagolsunn :D,positive
646,superonline a gec kafa rahat :),positive
647,ttnet dusunme bile en iyisi superonline,positive
648,hayat paylaşınca güzel:)))),positive
649,ama sen ne çektin bu   dan.. Hala mı bir tepki yok.. İyi ki  liyim :( geçmiş olsun.. Degistir artık. Hakettiler..,positive
650,Numaranı Turkcell'e taşımanın tam zamanı! 20 TL yükle aylık her yöne 250 dakika bedava konuşma kazaniyorsun :) duyduk duymadik demeyin :D,positive
651,Keciorene superonline fiber cekiyomus...,positive
652,#PazarlamaKonferansi Turkcell ile yine cok keyifli bir konferans baslamak uzere.,positive
653,Bende özturkcell ciyim. ;)),positive
654,Biri adsl icin ozel kufurler ariyorum ve tabiki iyi ki varsin turkcell,positive
655,"valla hacı, superonline var kafam rahat. KUSURA BAKMA AMA ÖYLE YANİ...",positive
656,"artık var, turkcellin sitesine bakınız.",positive
657,aynı zamanda özel de.. hayat paylaşınca güzel lalalala la lala :p,positive
658,"Bir Coca Cola, bir de Türkcell reklam konusunda oldum olası çok başarılılar. Büyük olmak böyle bir şey olsa gerek...",positive
659,32 GB Gold paket gayet iyi :),positive
660,Bu aralar sadece beni düşünen tek turkcell var,positive
661,İyi gun kotu gun dostum mesaj atan turkcell,positive
662,Sanırım iphone 4si en ucuz turkcell ve darty satıyor 2bin liranın altında satan iki yer,positive
663,ne yaptı ki Turkcell? Ben yanlış paket almisim aradım müşteri hizmetlerini tllerimi geri gönderdiler :),positive
664,süperonline.hem daha hızlı.,positive
665,Millet hat degistirelim =) Numarasını Migrosda Turkcelle taşıyan veya yeni faturalı hat alana 50TL bedava alışveriş,positive
666,"İSO İnovasyon Büyük Ödülü'nü Turkcell Teknoloji Araştırma Geliştirme, İSO İnovasyon Jüri Özel Ödülü'nü Royal Halı kazandı.",positive
667,abla cuma günü turkcell muzikte seni canlı canlı internettenmi dinlicez turkcell muzikte olcağını biliyorum ama nasıl olcak?,positive
668,keşiflerini paylasmalısın . Hayat paylasınca güzel  . Reklamı bile var :D,positive
669,tabi ki.. elimden ne gelirse.. hayat paylaşınca güzel.lalalalaaaaa.. :),positive
670,yok ya iyi turkcell alistim,positive
671,bnce süperonline yada smileadsl yap,positive
672,gördüğm en hızlı turksel müşteri temsilcisisin asıl ben teşekkür ederim :))),positive
673,hayat paylasinca guzel ;))),positive
674,Biliyomusunuzzzz Turkcell oluyorummmm. Bilmessiniz tabi çünkü daha yeni karar verdimmmm.,positive
675,superonline :),positive
676,#turkcell bana kıyak geçmiş sms paketim seneye kadar darlingler :D,positive
677,eh ne demişler hayat paylaşınca güzel,positive
678,Diyarbakir'dan ayrilma vakti..Aksam yemegi ve kahvaltisi mukemmeldi..Sahneyi anlatmaya gerek yok;)Tum Turkcell ekibine tesekkurler;),positive
679,seni seviyorum Turkcell...:) iyi ki varsın...,positive
680,internet hızım neden 8m degil ? su hızı arttırın yoksa superonline alıcam,positive
681,yazık ya :D ama bence turkcell mobil ödemeyle yemek siparis et :D,positive
682,gardaşcığım hayat paylaşınca güzel :):),positive
683,keske turkcell panpisim ve karsim i de yazsaydi panolara bende sana burdan yolluyorum muck :),positive
684,geride kalan müzik aktivitelerinde çalıştım bugünde evden internetten izlicem.çok merak ediyorum bu güzel proje nasıl görünüyo :),positive
685,Sbh 07:30da $irkettin giri$inde elinde $ekerleriyle noel baba bizi kar$iladi:)Turkcell seni sevyorum,positive
686,huaweri u8650 yani turkcell t20 o bütçe için en gelişmiş kullanışlı telefon :),positive
687,Vakit bulamama ihtimaline karşın Turkcell'den de istedim. Yarın gelecek. Hızlı okutup detayları kaçırmanı istemem :),positive
688,Bendeniz #Turkcell e geçmiş bulunuyorum.,positive
689,hayat paylaşınca güzel hilal ;) la la la,positive
690,Turkcell i ariyorum genelde ben yia bayadir yeniliyo kendini 100mb de yapiyolar :D,positive
691,Büyüksün Süreyya Ciliv,positive
692,hoşgeldin aramıza. hayata bağlan Turkcell'le Hazal.,positive
693,bugün gds sınavı var.evet var ve ben daha yeni çalısmaya basladım. Hayat paylasınca güzel,positive
694,ama hayat paylaşınca güzel lazım yani:D,positive
695,gunaydin,positive
696,"Turkcell hala ""prestij"" kazandıran bir marka. Onu kullanmak insanlar için hala belli bir seviyede olmakla eş.",positive
697,"Iphone 4 konusunda babamın kanına girdim bugün :) Turkcell'den aldığım katalog ile yanına gidip, istiyorum bunu dedim :)",positive
698,Turkcell Wınn kullanmalısın :),positive
699,"turkcellmuzik hoş olmuş, güzel olmuş, çok da güzel ve çok hoş olmuş",positive
700,bu tarifeyi pek beğendim:) teşekkür ederim yardımlar için tarife de bu sanırım,positive
701,turkcell :-),positive
702,vodafone mu :/ ama herkes turkcell,positive
703,"o zaman sana bir soru. 8yıl turkcell kullanıp,bi gazla avea'ya geçtim ama şimdi yine turkcell'e geçmeyi düşünüyorum. sence?",positive
704,merhaba ben dünyanın tek sıradışı yüzüne sahib erkeği olarak turkcell kullanıyorum turkcellin kalitesi duyarlılığı tartışılmaz,positive
705,"""hayat paylaşınca güzel"" sloganını hayata geçirmek isteyen çocuk facebook da paylaşım rekoru kırdı",positive
706,saol sana da :-),positive
707,"Ekonomi sayfalarında 2011de öne çıkan markalar belli oldu. Birinci THY, ikinci Turkcell, üçüncü Ziraat Bankası oldu.",positive
708,turkcell in 3g si kamil kocun aptal wifi indan cok daha ii ki :),positive
709,Ne dersen de Avea Vodofone hikaye...Turkcell gibisi yok...,positive
710,"cekim gucu - turkcell = victoria melegi , vodafone = hadise.. Kapsama alani-victoria 180cm , hadise 160cm",positive
711,"eger sansın varsa superonline fiber optik, yoksa zaten diğer hepsi aynı",positive
712,tmm tşkrler turkcell facebook sayfası,positive
713,son 14 ay  ondan sonra #vodafone dan kurtulacağım.. hani o reklamlarda pahalı diye salladığı şirkete gidicem #turkcell,positive
714,ahaha hadi ya öyle mi!.hatta Turkcell EMOTIONAL paketi duymuştum bir de. iltifatlar sevgi sözcükleri vs. atıyo kızlar çin ideal.,positive
715,"yapacak bişey varsa, bulursan eğer senin durumundakileri de düşünürsün değil mi? ne de olsa hayat paylaşınca güzel :)",positive
716,Bostancı Gösteri Merkezi'ne dogru yoldayiz! Konserimiz de tum sarkilar Turkcell Global Bilgi icin..Sevgiler..,positive
717,süperonline ım yokki 100 mbit internetim olsun:)) bizim okulda var ama 100 mbit denedim,positive
718,"İphone 4S,16 Aralık tarihinde Turkcell bayilerinde kampanyalı satışa sunulacak bilginize ...",positive
719,Turkcell #PazarlamaKonferansi Charlene Li,positive
720,#encoksevdigimsey Turkcell ile hayata bağlanmak,positive
721,Ben memnunum  'den :),positive
722,#cokozledim  superonline ile internete bağlandığım o günleri. tek derdim ev telefonunun meşgulde olduğunu kimsenin anlamamasıydı,positive
723,"Kurumsal hat kullanmak yerine bireysel faturalı ol daha iyi valla, bireysel faturalı olsaydım Turkcell'de simdi Samsung Galaxy Note almıstım",positive
724,turkcell de bana çok güzel bir kız gibi geliyor vazgecemiyorum :),positive
725,evet bu lafım laf çakmak için yer aramak oldu:D Lafımı sadece Turkcell için geri alıyorum:D,positive
726,Saygıdeğer sayın sevgili TURKCELL ailesine en guzel dıleklerımı yolladıktan sonra isteğimin onaylanması beni sevindirmedi değil yani :D,positive
727,#turkcellfestival Harika Yorumlarından dolay model'e teşekkürler ve tabiki turkcell e :),positive
728,imza işlemez bunlara vazgeçmezler turkcel sevdalarından,positive
729,"Doğum günümü kutlayan Turkcell, Miles&amp;Smiles ve hatta Greenpeace'e bile teşekkür ediyorum, birtanesiniz :)",positive
730,nolucak benim bu mikrofon merakim sonunda bunuda yaptim O SES TURKCELL de yarin aksam performans sergileyecegim bide kazanirsanm var ya:),positive
731,Kaç kez sonbohar kaçç kezz dedimm hayaaaatt ! Vodafone Freezone kullanmıyorum ama hoşuma gidiyorum.. Ben GENÇ TURKCEL. TÜRKCEL'LİNİN GÜCÜ !,positive
732,beni unutmayan tek adam turkcell,positive
733,"her yerde çeker de, bu hızla 3g hiç çekmese daha iyi. Sözleşme biter bitmez back to",positive
734,Özturkcell reklami cok iyi olmus abi ya :D suan Türkiye deee sadece 1 tane var :D,positive
735,"#3kelimeyle2011 basarı, performans, keyif...",positive
736,"Değer katanlar ödülü Süreyya Ciliv'e: Turkcell Genel Müdürü Süreyya Ciliv, Bahçeşehir Üniversitesi tarafından bu...",positive
737,"Ohaaa bedava dk kazandim la.Canim Turkcell.(Biri bu ani not etsin,bir daha bunu ayik kafayla demem) Onumuzdeki 4 Cumartesi 60 dk'm olacak ^^",positive
738,"Ben teşekkür ederim:) hayat paylaşınca güzel desek, Turkcell sponsor olurmu acaba:)",positive
739,süperonline kesinllikle . .,positive
740,Internet paketim bitmedi. Ama bitmesi gerekiyodu? Buyuksun Turkcell :D,positive
741,Tabiki hayat paylaşınca güzel :)) sohbetin çok hoşmuş yaa :),positive
742,"""hayat okudugunu paylastikca guzel"" sloganiyla vapurlarda gazete dagitan turkcell e... hayyy yaşşaa len turkcell demek geldi icimden...MY",positive
743,Benim tekrar turkcell'e geçesim var. Böyle kendimi çok yalnız hissediyorum kimse mesaj atmıyo artık :(,positive
744,bı cepten ınternete gırebılıyorum nolur bu ruya bıtmesın turkcell,positive
745,Eğer düzenli olarak küfür etmek istiyosan ttneti seçebilirsin ben daha geçen ay superonline geçtim çok daha iyi,positive
746,Kontör aldim aninda 7 tl aldi bu turkcell ! Neyse internet paketim yenilenmis oldu iyi iyi :),positive
747,benim için turkcell ve diğerleri.. turkcell babamın oğluymuş gibi nie savunuyosam,positive
748,avea'dan gordugum 270 tl lik faturadan sonra Turkcell bana eli opulesi geldi :),positive
749,#2011 de Turkcell'de kalmaya devam ettim mesela..,positive
750,özturkcell abi o.,positive
751,"Bu arada Turkcell, caglayan adliyesinde -7'de full cekiyor, ben baska reklam bilmem. (   )",positive
752,Capital 500listesindeki HerBasarili 10 $irketten9'u bizimle çalisiyor TURKCELL...,positive
753,turkcell kalpkalp.. .p.p =) bu  şirinlikleri hep sana yapıyo ;),positive
754,cnm ben superonline kullaniyorum kesinlikle cok hizli acaip memnunum tavsiye ediyorummm,positive
755,Bu mesela: SunExpress'te TURKCELL'lilere tüm iç hat uçuşlarında %50 indirim! bu gün son gun! -,positive
756,hayir!,negative
757,#turkcell adinda bir telefon operatoru var.deli dumrul dan besbin beter.Para carpmanin adi #turkcell olmus.eline ver kolunu kurtaramiyorsun,negative
758,"Dileğim; SuperOnline, Turkcell, TTNET vb. firmaların 2012'de ""sizi arayacağız"" demek yerine direk burdan cevap vermesi şeklinde. #hope #2012",negative
759,"Mesaj hakkı yapamıyorum,turkcell yok olsun istiyorum şuan",negative
760,Turksel amca yapmiyo artik sana oyle kiyaaklar kankı,negative
761,TÜRKCELL SÜPERONLİNE ANADOLU YAKASINDAKİ SORUNUNU 2012 ÇÖZER Mİ ACABA.,negative
762,"#Turkcell umarım bundan sonra kafasına sarı anten geçiren,mıy mıy konuşan v ayağına inşaat çizmesi giyen çocukları kullanmazsın reklmlarında",negative
763,sendemi birütüsss yha :( türksel görünümlü şahin gitti kontürler :/,negative
764,28.11.2011 de başlayan oturumu 01.01.2012 00:34 de kapatıp ilgili kotayı Ocak 2012 ye ekleyen superonline ı buradan alkışlarla kınıyorum.,negative
765,Bu gece saat 00.00'da mesaj atayımda sevgılısı attı sansın gerızekalı -Turkcell,negative
766,"bir hafta icerisinde kurulum yapacaktiniz,araya bayram tatili girdi o zamandan bu zamana ne arayan ne gelen var",negative
767,ısık hızında oldugunu ıddıa ettıklerı ınternetı 8 gunde baglayamıyorlar,negative
768,+Turkcell'i kazıkladım.  -Nasıl yaptın kanka?  +SMS yaptım seneye bitiyo. :D,negative
769,#superonline yine birincil dns sunucusu hatasi verdi baglanamiyorum,negative
770,iPhone 4S kampanyan çok pahalı be Turkcell'im. Bi' kerede demediniz ki al ibocum hep hediye dağıtıyoruz buda bizden sana diye :(,negative
771,"Bende tam 00.00 kim beni dusunuyor demistim ki, turkcell mesaj atti. Canim.",negative
772,benimde cok yedi turksel ya iptal ettigim servisleri tekrar actilar filan simdi vodafonedayim gayet iyi hic sorun yasamadim,negative
773,turkcell benden habersiz numaramı vodofonedan turkcelle taşımız sonra numaramı başka birine vermiş o.ç'ler dava açıcam ibneler:D,negative
774,duy bunu superonline japonyada 83mbps internet 60usd ve limitsiz! kotasız!,negative
775,"alara şimdi derin nefes al, beynine oksijen gitsin ayrıca bu turkcell bana neden bokluk yaptı?",negative
776,sayın ciliv bulunuduğum yerde turkcell çekmiyor. reyhanlı hataydan yazıyorum. telefonla konuşmak bizim için eziyet oluyor.,negative
777,müzik dinlerken sakin sakin arkadan birden şaaart yoook şuuurrrt yoook diye reklama başlayan turkcell ve zaytung. BSG.,negative
778,Bu Edge ile 3G arasinda hiz bakimindan neden hic fark yok?internet paketimden mi kaynakli acaba?,negative
779,kamil koç-türkcell 1 bilet alana 1 bilet bedava kampanyası kocaman bir kandırmacadır...AYIP !!!,negative
780,#superonline fiber internet 'in Adil Kullanım haksızlığına sessiz kalmayın. Emsal karar çıktı:   RT!,negative
781,"aman bunu da hizmet diye satar #Turkcell ""Hayat rahatsız edilmeyince güzel"" deyip yansıtır faturaya.",negative
